aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url
"['', 'd', 'e', 'd', 'v']","['', '', 'v', 'e', 'e']",Maião,,,,2026-03-10 21:30:00,,,,346405,13,277,10,2305,1773189000,26,False,fique por dentro,https://ge.globo.com/sp/tem-esporte/futebol/brasileirao-serie-a/jogo/10-03-2026/mirassol-santos.ghtml?utm_source=cartolafc
"['', 'd', 'e', 'd', 'e']","['', 'e', 'd', 'e', 'd']",Arena MRV,,,,2026-03-11 19:00:00,,,,346406,18,285,17,282,1773266400,26,True,fique por dentro,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/11-03-2026/atletico-mg-internacional.ghtml?utm_source=cartolafc
"['', '', 'v', 'd', 'd']","['', 'v', 'v', 'd', 'e']",Arena da Baixada,,,,2026-03-11 19:00:00,,,,346408,14,263,6,293,1773266400,26,False,,
"['', '', 'v', 'd', 'd']","['', '', 'v', 'e', 'v']",Casa de Apostas Arena Fonte Nova,,,,2026-03-11 20:00:00,,,,346409,15,287,4,265,1773270000,26,True,fique por dentro,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/11-03-2026/bahia-vitoria.ghtml?utm_source=cartolafc
"['', 'd', 'd', 'e', 'e']","['', '', 'd', 'e', 'v']",Maracanã,,,,2026-03-11 21:30:00,,,,346401,19,283,11,262,1773275400,26,True,,
"['', 'd', 'v', 'e', 'd']","['', 'd', 'v', 'v', 'e']",Neo Química Arena,,,,2026-03-11 21:30:00,,,,346404,12,294,3,264,1773275400,26,True,,
"['', 'v', 'e', 'v', 'd']","['', 'd', 'e', 'e', 'e']",Mangueirão,,,,2026-03-12 19:00:00,,,,346410,5,266,16,364,1773352800,26,True,,
"['', 'e', 'v', 'v', 'v']","['', 'd', 'e', 'd', 'd']",São Januário,,,,2026-03-12 19:30:00,,,,346402,1,275,20,267,1773354600,26,True,,
"['', '', 'v', 'e', 'e']","['', 'v', 'e', 'v', 'v']",Canindé,,,,2026-03-12 20:00:00,,,,346403,9,315,2,276,1773356400,26,True,,
"['', 'v', 'v', 'd', 'e']","['', 'd', 'v', 'd', 'v']",Arena do Grêmio,,,,2026-03-12 21:30:00,,,,346407,7,280,8,284,1773361800,26,True,,
