atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_CA,scout_DS,scout_FC,scout_FF,scout_FS,scout_A,scout_FD,scout_SG,scout_G,scout_I,scout_PP,scout_PS,scout_PC,scout_GC,scout_FT,scout_DE,scout_GS,scout_CV,scout_V,scout_DP,mandante,adversario,tendencia,custo_beneficio,cb_rank,armadilha,status_label
141776,Gustavo Henrique,277,SAN,4,Meia,7,2.78,1.0,1.5,3,4.2,2.0,4.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,False,FLA,alta,0.54,51,False,Provável
112709,Kaiki Bruno,283,CRU,2,Lateral,7,11.15,0.0,5.23,8,0.0,1.0,15.0,11.0,3.0,10.0,2.0,1.0,1.0,,,,,,,,,,,,,False,SAO,estavel,0.469,65,False,Provável
39148,Hulk,282,CAM,5,Atacante,7,12.83,0.5,5.44,9,7.0,1.0,4.0,7.0,6.0,25.0,3.0,5.0,,1.0,3.0,,,,,,,,,,,True,CAP,estavel,0.424,69,False,Provável
80287,Luciano,276,SAO,5,Atacante,2,13.68,-1.29,4.99,8,-0.1,2.0,6.0,7.0,7.0,14.0,1.0,4.0,,2.0,4.0,1.0,1.0,,,,,,,,,True,CRU,baixa,0.365,88,False,Dúvida
126471,Barreal,277,SAN,4,Meia,7,10.23,-0.51,4.06,8,0.6,2.0,12.0,14.0,6.0,9.0,,3.0,,1.0,2.0,,,,,,,,,,,False,FLA,baixa,0.397,102,False,Provável
78850,Reinaldo,2305,MIR,2,Lateral,7,9.07,0.0,0.58,5,0.0,3.0,2.0,5.0,3.0,4.0,,,,,,,,,,,,,,,,True,RBB,estavel,0.064,87,True,Provável
106104,Enamorado,284,GRE,5,Atacante,2,7.47,0.33,3.44,8,5.2,1.0,8.0,6.0,6.0,10.0,1.0,3.0,,,1.0,,,,,,,,,,,True,REM,estavel,0.461,60,False,Dúvida
100652,Yuri Alberto,264,COR,5,Atacante,7,11.68,-3.0,3.1,5,-0.3,1.0,1.0,6.0,2.0,6.0,,4.0,,1.0,6.0,,,,,,,,,,,True,INT,baixa,0.265,104,False,Provável
86292,Bolasie,315,CHA,5,Atacante,7,3.91,-0.17,1.18,7,1.5,1.0,1.0,8.0,6.0,9.0,,,,,1.0,,1.0,,,,,,,,,True,VIT,estavel,0.302,100,False,Provável
94583,Pedro,262,FLA,5,Atacante,7,15.06,-1.59,6.35,7,0.5,,8.0,6.0,2.0,11.0,2.0,1.0,,2.0,1.0,,,,,,,,,,,True,SAN,baixa,0.422,71,False,Provável
