nome,clube,clube_id,posicao,status_id,status_label,preco,media,media_bayesiana,variacao,jogos,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z
Alix Vinicius,RBB,280,Zagueiro,7,Provável,5.7,2.36,2.753,1.31,7,0.875,0.423,27,False,MIR,alta,0.321,neutro,,,,,,,,,,,12.944
Gustavo Henrique,COR,264,Zagueiro,7,Provável,8.22,2.97,3.042,-0.64,6,0.75,0.278,49,True,INT,baixa,-0.394,neutro,,,,,,,,,,,12.944
Gabriel Paulista,COR,264,Zagueiro,7,Provável,9.43,4.7,3.784,0.06,6,0.75,0.301,46,True,INT,estavel,-0.184,neutro,,,,,,,,,,,12.944
Gustavo Marques,RBB,280,Zagueiro,7,Provável,7.87,5.44,4.19,0.5,7,0.875,0.466,22,False,MIR,estavel,0.795,valor_bom,,,,,,,,,,,12.944
David Duarte,BAH,265,Zagueiro,7,Provável,5.68,3.37,3.171,0.67,3,0.375,0.209,56,True,PAL,alta,0.712,valor_bom,,,,,,,,,,,12.944
Jacy,CFC,294,Zagueiro,7,Provável,5.11,4.27,3.683,0.32,8,1.0,0.721,3,True,FLU,estavel,1.404,valor_bom,,,,,,,,,,,12.944
Fabrício Bruno,CRU,283,Zagueiro,7,Provável,8.04,2.64,2.855,0.73,9,1.0,0.355,39,False,SAO,alta,-0.495,neutro,,,,,,,,,,,12.944
Robert Renan,VAS,267,Zagueiro,7,Provável,4.62,1.32,2.156,-0.25,9,1.0,0.467,21,True,BOT,estavel,0.194,neutro,,,,,,,,,,,12.944
Jemmes,FLU,266,Zagueiro,7,Provável,6.82,3.78,3.438,-0.43,8,1.0,0.504,16,False,CFC,estavel,0.514,valor_bom,,,,,,,,,,,12.944
Maicon,CFC,294,Zagueiro,7,Provável,4.36,2.67,2.883,0.0,8,1.0,0.661,4,True,FLU,estavel,0.962,valor_bom,,,,,,,,,,,12.944
Lyanco,CAM,282,Zagueiro,2,Dúvida,11.97,7.75,4.027,1.75,2,0.25,0.084,78,True,CAP,alta,-0.948,armadilha_leve,,,,,,,,,,,12.944
Léo Pereira,FLA,262,Zagueiro,7,Provável,10.34,5.14,3.883,0.0,5,0.625,0.235,53,True,SAN,estavel,-0.447,neutro,,,,,,,,,,,12.944
Gustavo Gómez,PAL,275,Zagueiro,7,Provável,11.41,5.34,4.218,0.0,8,1.0,0.37,35,False,BAH,estavel,-0.556,armadilha_leve,,,,,,,,,,,12.944
Lucas Veríssimo,SAN,277,Zagueiro,7,Provável,11.5,8.3,4.137,2.14,2,0.25,0.09,74,False,FLA,alta,-0.665,armadilha_leve,,,,,,,,,,,12.944
Tchamba,REM,364,Zagueiro,7,Provável,4.38,2.2,2.752,-0.98,5,0.625,0.393,31,False,GRE,baixa,0.834,valor_bom,,,,,,,,,,,12.944
Aguirre,CAP,293,Zagueiro,7,Provável,5.33,3.47,3.257,-1.1,6,0.75,0.458,24,False,CAM,baixa,0.927,valor_bom,,,,,,,,,,,12.944
Cacá,VIT,287,Zagueiro,7,Provável,5.23,2.98,3.052,-1.69,5,0.625,0.365,36,False,CHA,baixa,0.778,valor_bom,,,,,,,,,,,12.944
Villalba,CRU,283,Zagueiro,7,Provável,7.96,2.88,3.004,0.67,6,0.75,0.283,48,False,SAO,alta,-0.327,neutro,,,,,,,,,,,12.944
Murilo,PAL,275,Zagueiro,7,Provável,6.88,4.1,3.565,-1.19,7,0.875,0.453,25,False,BAH,baixa,0.607,valor_bom,,,,,,,,,,,12.944
Camutanga,VIT,287,Zagueiro,7,Provável,7.21,4.53,3.711,-1.05,6,0.75,0.386,32,False,CHA,baixa,0.613,valor_bom,,,,,,,,,,,12.944
João Victor,MIR,2305,Zagueiro,7,Provável,4.75,2.07,2.618,-0.58,7,0.875,0.482,18,True,RBB,baixa,0.567,valor_bom,,,,,,,,,,,12.944
Marllon,REM,364,Zagueiro,7,Provável,4.86,2.53,2.797,-0.34,9,1.0,0.576,10,False,GRE,estavel,0.688,valor_bom,,,,,,,,,,,12.944
Léo Ortiz,FLA,262,Zagueiro,7,Provável,9.47,4.76,3.873,-0.19,7,0.875,0.358,38,True,SAN,estavel,-0.118,neutro,,,,,,,,,,,12.944
Junior Alonso,CAM,282,Zagueiro,2,Dúvida,6.04,3.32,3.192,0.0,6,0.75,0.396,30,True,CAP,estavel,0.592,valor_bom,,,,,,,,,,,12.944
Victor Caetano,CHA,315,Zagueiro,7,Provável,3.47,2.0,2.675,-0.26,5,0.625,0.482,18,True,VIT,estavel,1.117,valor_bom,,,,,,,,,,,12.944
Arthur Dias,CAP,293,Zagueiro,7,Provável,6.28,3.87,3.428,0.0,6,0.75,0.409,28,False,CAM,estavel,0.715,valor_bom,,,,,,,,,,,12.944
Ruan,CAM,282,Zagueiro,7,Provável,6.33,3.64,3.368,1.2,8,1.0,0.532,13,True,CAP,alta,0.64,valor_bom,,,,,,,,,,,12.944
Sabino,SAO,276,Zagueiro,7,Provável,8.05,5.47,4.283,0.22,8,1.0,0.532,13,True,CRU,estavel,0.811,valor_bom,,,,,,,,,,,12.944
Mercado,INT,285,Zagueiro,7,Provável,6.37,4.47,3.685,-0.82,6,0.75,0.434,26,False,COR,baixa,0.915,valor_bom,,,,,,,,,,,12.944
Gustavo Martins,GRE,284,Zagueiro,7,Provável,6.11,2.53,2.854,0.19,6,0.75,0.35,42,True,REM,estavel,0.254,neutro,,,,,,,,,,,12.944
Willian Machado,MIR,2305,Zagueiro,7,Provável,4.4,2.06,2.613,0.14,7,0.875,0.52,15,True,RBB,estavel,0.698,valor_bom,,,,,,,,,,,12.944
Rafael Tolói,SAO,276,Zagueiro,7,Provável,7.0,4.6,3.397,-1.5,2,0.25,0.121,66,True,CRU,baixa,0.406,neutro,,,,,,,,,,,12.944
Luan Peres,SAN,277,Zagueiro,7,Provável,5.07,2.23,2.692,0.25,7,0.875,0.465,23,False,FLA,estavel,0.51,valor_bom,,,,,,,,,,,12.944
Saldivia,VAS,267,Zagueiro,7,Provável,5.07,2.13,2.682,-0.4,6,0.75,0.397,29,True,BOT,estavel,0.501,valor_bom,,,,,,,,,,,12.944
Eduardo Doma,CHA,315,Zagueiro,7,Provável,5.42,3.8,3.448,1.25,8,1.0,0.636,6,True,VIT,alta,1.067,valor_bom,,,,,,,,,,,12.944
Santiago Mingo,BAH,265,Zagueiro,7,Provável,5.74,3.02,3.058,0.94,8,1.0,0.533,12,True,PAL,alta,0.585,valor_bom,,,,,,,,,,,12.944
Noriega,GRE,284,Zagueiro,2,Dúvida,7.42,5.0,3.985,-1.0,7,0.875,0.47,20,True,REM,baixa,0.782,valor_bom,,,,,,,,,,,12.944
Alexander Barboza,BOT,263,Zagueiro,7,Provável,11.79,5.76,4.121,0.0,5,0.625,0.218,54,False,VAS,estavel,-0.792,armadilha_leve,,,,,,,,,,,12.944
Bruno Leonardo,CHA,315,Zagueiro,7,Provável,3.39,1.87,2.524,0.52,7,0.875,0.651,5,True,VIT,alta,1.009,valor_bom,,,,,,,,,,,12.944
Viery,GRE,284,Zagueiro,7,Provável,3.33,1.87,2.571,-0.09,6,0.75,0.579,9,True,REM,estavel,1.076,valor_bom,,,,,,,,,,,12.944
Freytes,FLU,266,Zagueiro,7,Provável,5.3,3.44,3.268,-0.82,8,1.0,0.617,7,False,CFC,baixa,0.949,valor_bom,,,,,,,,,,,12.944
Bastos,BOT,263,Zagueiro,7,Provável,4.63,0.53,2.397,-0.2,3,0.375,0.194,58,False,VAS,estavel,0.411,neutro,,,,,,,,,,,12.944
Hugo Souza,COR,264,Goleiro,7,Provável,9.71,4.74,4.297,0.0,7,0.875,0.387,19,True,INT,estavel,-0.508,armadilha_leve,,,,,,,,,,,11.92
Lucas Arcanjo,VIT,287,Goleiro,7,Provável,8.31,6.22,4.798,-1.8,5,0.625,0.361,20,False,CHA,baixa,0.758,valor_bom,,,,,,,,,,,11.92
Everson,CAM,282,Goleiro,7,Provável,11.34,6.31,5.18,1.05,9,1.0,0.457,13,True,CAP,alta,-0.58,armadilha_leve,,,,,,,,,,,11.92
Raul,BOT,263,Goleiro,7,Provável,4.16,3.0,3.606,-0.65,4,0.5,0.433,17,False,VAS,baixa,1.951,valor_oculto,,,,,,,,,,,11.92
Gabriel Brazão,SAN,277,Goleiro,7,Provável,6.97,3.29,3.599,0.62,8,1.0,0.516,7,False,FLA,alta,0.365,neutro,,,,,,,,,,,11.92
Rochet,INT,285,Goleiro,7,Provável,6.59,2.8,3.354,0.0,8,1.0,0.509,9,False,COR,estavel,0.344,neutro,,,,,,,,,,,11.92
Rafael,SAO,276,Goleiro,7,Provável,8.17,3.95,3.931,0.2,9,1.0,0.481,10,True,CRU,estavel,0.008,neutro,,,,,,,,,,,11.92
