atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,scout_DE,scout_FS,scout_GS,scout_SG,scout_CA,scout_DS,scout_FC,scout_I,scout_FD,scout_FF,scout_FT,scout_PC,scout_A,scout_G,scout_PP,scout_PS,scout_CV,scout_V,scout_DP,scout_GC
99552,Rossi,262,FLA,1,Goleiro,7,9.14,-0.11,5.25,4,6.8,10.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
130843,Arthur Dias,293,CAP,3,Zagueiro,7,5.0,-0.3,3.37,4,0.5,,3.0,,1.0,1.0,6.0,3.0,1.0,,,,,,,,,,,,
97900,Vitão,262,FLA,3,Zagueiro,6,10.65,1.65,6.5,1,6.5,,,,1.0,,1.0,,,,,,,,,,,,,,
110426,Bernabei,285,INT,2,Lateral,7,8.17,0.82,3.28,6,6.5,,7.0,,,2.0,7.0,9.0,4.0,4.0,5.0,1.0,1.0,,,,,,,,
124674,Felipe Negrucci,276,SAO,4,Meia,6,2.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
51772,Everton Ribeiro,265,BAH,4,Meia,5,10.45,0.0,5.87,3,0.0,,8.0,,,,5.0,3.0,,1.0,1.0,,,1.0,,,,,,,
130806,Kauan,315,CHA,3,Zagueiro,6,1.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
89274,Andreas Pereira,275,PAL,4,Meia,7,14.05,-1.17,7.27,6,0.0,,2.0,,,1.0,7.0,9.0,,1.0,2.0,,,5.0,1.0,,,,,,
112709,Kaiki Bruno,283,CRU,2,Lateral,7,11.3,1.64,4.67,6,12.0,,7.0,,,1.0,13.0,6.0,,1.0,2.0,,,1.0,,,,,,,
89837,Lucho Acosta,266,FLU,4,Meia,7,12.77,0.08,8.87,6,6.3,,7.0,,,1.0,11.0,8.0,,3.0,5.0,,,1.0,3.0,,,,,,
68708,Eduardo,2305,MIR,4,Meia,5,6.9,0.0,4.2,3,0.0,,5.0,,,,1.0,6.0,,2.0,,,,,1.0,,,,,,
140438,David,315,CHA,4,Meia,6,0.69,-0.16,-0.15,2,-0.3,,,,,,,1.0,,,,,,,,,,,,,
141776,Gustavo Henrique,277,SAN,4,Meia,6,2.58,0.58,2.0,1,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,
78850,Reinaldo,2305,MIR,2,Lateral,7,9.75,-1.14,0.23,4,-0.9,,3.0,,,2.0,1.0,3.0,,,1.0,,,,,,,,,,
126471,Barreal,277,SAN,4,Meia,6,12.01,-0.8,5.96,5,4.1,,6.0,,,1.0,10.0,9.0,1.0,3.0,5.0,,,,1.0,,,,,,
39148,Hulk,282,CAM,5,Atacante,7,12.7,-1.43,6.07,6,0.5,,18.0,,,,4.0,5.0,3.0,1.0,5.0,,,2.0,1.0,,,,,,
89368,Braithwaite,284,GRE,5,Atacante,6,13.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,
