atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_FS,scout_DS,scout_FC,scout_CA,scout_FD,scout_FF,scout_G,scout_DE,scout_GS,scout_A,scout_PC,scout_FT,scout_I,scout_V,scout_PS
100742,Matheus Henrique,283,CRU,4,,,,1.0,,,,,,,,,,,,,,
100898,Vitinho,263,BOT,2,,,,2.0,3.0,2.0,,,,,,,,,,,,
101002,Júnior Santos,263,BOT,5,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,
101290,Ferreira,276,SAO,5,,,,2.0,1.0,1.0,1.0,,1.0,3.0,,,,,,,,
101319,Guga,266,FLU,2,,,,,,1.0,,,,,,,,,,,,
101405,Wallisson,294,CFC,4,,,,,,,,,,,,,,,,,,
101708,Felipe Jonatan,294,CFC,2,,,,,1.0,,,,1.0,,,,,,,,,
101729,Fabinho,294,CFC,5,,,,,,,,,,,,,,,,,,
103445,Kaio Jorge,283,CRU,5,,,,,1.0,1.0,,,,,,,,,,,,
103523,Ignácio,266,FLU,3,,,,,,1.0,,,1.0,,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,,,,,,,,,,,,,,,,,,
104075,Sabino,276,SAO,3,,,,,,1.0,,,,,,,,,,,,
104191,Raul,263,BOT,1,,,,1.0,,,1.0,,,,5.0,1.0,,,,,,
104502,Christian,283,CRU,4,,,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,
104693,Newton,263,BOT,4,,,,,,,,,,,,,,,,,,
104758,Enzo Díaz,276,SAO,2,,,,1.0,4.0,2.0,,,,,,,,,,,,
104811,Sebastián Gómez,294,CFC,4,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,
105300,Ferraresi,263,BOT,3,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
106294,Marcos Antônio,276,SAO,4,,,,,,3.0,,,1.0,,,,1.0,,,,,
106593,Villalba,283,CRU,3,,,,,2.0,2.0,,,1.0,,,,,1.0,,,,
107231,Danilo,263,BOT,4,,,,,,2.0,,1.0,,,,,,,,,,
107873,Bobadilla,276,SAO,4,,,,,,3.0,,,,,,,,,,,,
109127,Tiago Cóser,294,CFC,3,,,,,,,,,1.0,1.0,,,,,,,,
109573,Martinelli,266,FLU,4,,,,,1.0,3.0,,,,,,,,,,,,
110144,Spinelli,267,VAS,5,,,,1.0,,1.0,,,1.0,,,,,,,,,
110506,Abel Ferreira,275,PAL,6,,,,,,,,,,,,,,,,,,
110598,Marino Hinestroza,267,VAS,5,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,
110708,Pedro Rangel,294,CFC,1,,,,,,,,,,,3.0,1.0,,,,,,
110759,John Kennedy,266,FLU,5,,,,,,,,,,1.0,,,,,1.0,,,
111690,Matheus Cunha,283,CRU,1,,,,,,,,,,,1.0,4.0,,,,,,
111831,Matheus Martins,263,BOT,5,,,,1.0,,2.0,,1.0,,1.0,,,,,,,,
112576,Vini Paulista,294,CFC,4,,,,1.0,2.0,1.0,,,,,,,,,,,,
112709,Kaiki Bruno,283,CRU,2,,,,1.0,3.0,3.0,,1.0,,,,,,,,,,
113034,Freytes,266,FLU,3,,,,,,,,,,,,,,,,,,
113359,Pablo Maia,276,SAO,4,,,,,,1.0,,,,,,,,,,,,
115479,Paulo Pezzolano,285,INT,6,,,,,,,,,,,,,,,,,,
116065,Cuiabano,267,VAS,2,,,,1.0,2.0,1.0,,,,,,,,,,,,
116447,Hércules,266,FLU,4,,,,,3.0,3.0,,,,,,,,,,,,
116706,Andrés Gómez,267,VAS,5,,,,2.0,,2.0,,1.0,,,,,,,,,,
117330,Robert Renan,267,VAS,3,,,,,2.0,,,,,,,,,,,,,
