atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_A,scout_DS,scout_FC,scout_FD,scout_FF,scout_FS,scout_FT,scout_SG,scout_V,scout_CA,scout_G,scout_I,scout_DE,scout_GS,scout_PC,scout_PP,scout_CV,scout_GC,scout_PS,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label
147192,Claudinho,293,CAP,2,Lateral,7,6.46,-0.93,7.88,4,3.7,True,1.0,10.0,5.0,1.0,1.0,6.0,1.0,1.0,,,0.0,,,,,,,,,,True,INT,0.0,,baixa,3.7,5.88,0.746,0.5,4.866,1.062,valor_bom,0.377,73,Provável
127273,Artur Jorge,283,CRU,6,Técnico,7,12.2,0.33,6.44,11,7.65,True,0.0,,,,,,,0.0,7.0,,0.0,,,,,,,,,,True,BOT,0.0,,estavel,7.7,6.44,1.0,1.0,6.244,0.34,neutro,0.512,15,Provável
42411,Cuca,277,SAN,6,Técnico,7,10.35,0.0,5.62,11,0.0,False,0.0,,,,,,,0.0,4.0,,0.0,,,,,,,,,,True,CHA,0.0,,estavel,5.6,5.62,1.0,1.0,5.769,0.346,neutro,0.557,9,Provável
101820,Mayk,364,REM,2,Lateral,7,5.92,-0.62,3.05,11,2.0,True,0.0,13.0,2.0,,2.0,6.0,,2.0,,,0.0,,,,,,,,,,True,VIT,0.0,,baixa,2.0,2.5,0.82,1.0,3.18,-0.393,neutro,0.537,43,Provável
130209,Renê,287,VIT,5,Atacante,7,11.11,0.0,8.04,10,0.0,False,1.0,8.0,10.0,9.0,4.0,23.0,1.0,0.0,,2.0,5.0,1.0,,,,,,,,,False,REM,0.0,,estavel,8.0,3.54,0.44,1.0,6.679,1.745,valor_oculto,0.601,18,Provável
97905,Matheus Aurélio,315,CHA,1,Goleiro,7,1.77,-0.23,-0.1,1,-0.1,True,0.0,,,,,,,0.0,,,0.0,,3.0,4.0,,,,,,,False,SAN,0.0,,estavel,0.0,0.0,0.0,0.125,1.082,0.642,valor_bom,0.076,34,Provável
107256,Zé Vitor,287,VIT,4,Meia,7,6.35,0.0,4.07,9,0.0,False,0.0,16.0,20.0,1.0,8.0,14.0,,0.0,,3.0,1.0,,,,1.0,,,,,,False,REM,0.0,,estavel,4.1,3.51,0.862,1.0,4.04,1.174,valor_bom,0.636,4,Provável
51413,Walter,2305,MIR,1,Goleiro,7,5.18,0.0,2.89,16,0.0,False,0.0,,,,,,,1.0,,2.0,0.0,,51.0,22.0,1.0,,,,,,False,VAS,0.0,,estavel,2.9,2.58,0.893,1.0,3.227,0.56,valor_bom,0.623,6,Provável
149990,Franclim Carvalho,263,BOT,6,Técnico,7,11.21,0.0,5.07,8,0.0,False,0.0,,,,,,,0.0,2.0,,0.0,,,,,,,,,,False,CRU,0.0,,estavel,5.1,5.07,1.0,1.0,5.522,-0.047,neutro,0.493,16,Provável
150197,Osorio,276,SAO,3,Zagueiro,7,2.36,1.63,1.93,3,6.2,True,0.0,5.0,4.0,,,1.0,,0.0,,1.0,0.0,,,,,,,,,,False,FLA,0.0,,alta,6.2,1.93,1.0,0.375,1.643,0.764,valor_bom,0.261,65,Provável
