atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FF,scout_FT,scout_FS,scout_FC,scout_G,scout_I,scout_V,scout_FD,scout_CA,scout_SG,scout_DE,scout_GC,scout_GS,scout_A
101254,Alef Manga,364,REM,5,,,,1.0,1.0,1.0,,,,,,,,,,,,
101820,Mayk,364,REM,2,,,,,,,1.0,,,,,,,,,,,
101908,Willian Machado,2305,MIR,3,,,,,,,,,,,,,,,,,,
101960,Vitinho,285,INT,5,,,,4.0,,,1.0,1.0,1.0,,,,,,,,,
102911,Zé Ricardo,364,REM,4,,,,1.0,1.0,,3.0,1.0,,1.0,,,,,,,,
103347,Matheus Alexandre,364,REM,2,,,,,,,,,,,,,,,,,,
103967,Bruno Santos,2305,MIR,5,,,,,,,,1.0,,1.0,,,,,,,,
104027,Rafael Guanaes,2305,MIR,6,,,,,,,,,,,1.0,,,,,,,
104204,Edson Carioca,2305,MIR,5,,,,1.0,,,,2.0,,,,1.0,,,,,,
105048,Jajá,364,REM,5,,,,1.0,,,,,,,,,,,,,,
105157,Villagra,285,INT,4,,,,1.0,,,,1.0,,,,,,,,,,
105436,Carrascal,262,FLA,4,,,,1.0,,,2.0,,,,,1.0,,,,,,
106202,Bruno Gomes,285,INT,4,,,,2.0,,,2.0,,,,,,,,,,,
106708,Igor Formiga,2305,MIR,2,,,,2.0,,,,1.0,,,,,1.0,,,,,
106907,Rafael Lacerda,315,CHA,6,,,,,,,,,,,,,,,,,,
107989,Carbonero,285,INT,5,,,,1.0,3.0,,3.0,2.0,,1.0,,1.0,,,,,,
110426,Bernabei,285,INT,2,,,,1.0,,,1.0,,,,,,,1.0,,,,
110506,Abel Ferreira,275,PAL,6,,,,,,,,,,,,,,,,,,
111690,Matheus Cunha,285,INT,1,,,,,,,,,,,,,,1.0,2.0,,,
113125,Picco,364,REM,4,,,,4.0,,,1.0,,1.0,,,,,,,,,
115479,Paulo Pezzolano,285,INT,6,,,,,,,,,,,1.0,,,,,,,
115914,Evertton Araújo,262,FLA,4,,,,1.0,,,,2.0,,,,,,,,,,
115986,Denilson,2305,MIR,4,,,,8.0,,,2.0,4.0,,,,,,,,,,
117061,Gabriel Knesowitsch,2305,MIR,3,,,,,,,,2.0,,,,,1.0,,,,,
122660,Japa,2305,MIR,4,,,,2.0,,,,,,,,,,,,,,
126182,Paulinho,285,INT,4,,,,,,,,,,,,,,,,,,
126977,Fernando Seabra,294,CFC,6,,,,,,,,,,,,,,,,,,
127273,Artur Jorge,283,CRU,6,,,,,,,,,,,,,,,,,,
128177,Pedro Emanuel,267,VAS,6,,,,,,,,,,,,,,,,,,
149990,Franclim Carvalho,263,BOT,6,,,,,,,,,,,,,,,,,,
37457,Léo Condé,364,REM,6,,,,,,,,,,,,,,,,,,
39850,Vagner Mancini,280,RBB,6,,,,,,,,,,,,,,,,,,
40990,Dorival Júnior,276,SAO,6,,,,,,,,,,,,,,,,,,
42411,Cuca,277,SAN,6,,,,,,,,,,,,,,,,,,
61987,Alex Sandro,262,FLA,2,,,,,,,,1.0,,,,,,,,,,
68685,Alan Patrick,285,INT,4,,,,2.0,2.0,,2.0,1.0,,,,,,,,,,
68708,Eduardo,2305,MIR,4,,,,,1.0,,,2.0,,,,,,,,,,
69783,Danilo,262,FLA,3,,,,1.0,,,,,,,,,,,,,,
70666,Marllon,364,REM,3,,,,,,,,,,,,,,,,1.0,,
70944,Bruno Henrique,285,INT,4,,,,,1.0,,,2.0,,,,,,,,,,
72279,Thomazella,2305,MIR,1,,,,,,,,,,,,,,,1.0,,1.0,
72391,Fernando Diniz,264,COR,6,,,,,,,,,,,,,,,,,,
72951,Mercado,285,INT,3,,,,3.0,,,1.0,,,,,,,1.0,,,,
78850,Reinaldo,2305,MIR,2,,,,1.0,,,,1.0,,,,,,,,,,1.0
80196,Yago Pikachu,364,REM,4,,,,,,,,,,,,,,,,,,
82730,Marcelo Rangel,364,REM,1,,,,,,,,,,,,,,,2.0,,2.0,
83433,Patrick,364,REM,4,,,,3.0,,,2.0,1.0,,,,,,,,,,
83528,Léo Pereira,262,FLA,3,,,,,,,2.0,,,,,,,,,,,
84735,Jorginho,262,FLA,4,,,,2.0,,,1.0,2.0,,,,,,,,,,
84816,Varela,262,FLA,2,,,,,,,,1.0,,,,,,,,,,
87863,Arrascaeta,262,FLA,4,,,,,1.0,,2.0,,,,,,,,,,,
88037,Luís Castro,284,GRE,6,,,,,,,,,,,,,,,,,,
88963,Leonardo Jardim,262,FLA,6,,,,,,,,,,,,,,,,,,
90285,Bruno Henrique,262,FLA,5,,,,,,,,,,,,,,,,,,
91473,Erick Pulgar,262,FLA,4,,,,1.0,,,,,,,,,,,,,,
91866,Zé Ivaldo,364,REM,3,,,,1.0,,,,,,,,,,,,,,
92180,Jair Ventura,287,VIT,6,,,,,,,,,,,,,,,,,,
92182,Juninho,285,INT,3,,,,,,,,,,,,,,1.0,,,,
92273,Odair Hellmann,293,CAP,6,,,,,,,,,,,,,,,,,,
92747,Eduardo Domínguez,282,CAM,6,,,,,,,,,,,,,,,,,,
94583,Pedro,262,FLA,5,,,,,,,1.0,1.0,,,,,,,,,,
95131,Gabriel Taliari,364,REM,5,,,,,1.0,,3.0,1.0,,,,,,,,,,
96870,Emerson Royal,262,FLA,2,,,,,,,,,,,,,,,,,,
97341,Rogério Ceni,265,BAH,6,,,,,,,,,,,,,,,,,,
97450,Gustavo Mosquito,2305,MIR,5,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,
97460,João Victor,2305,MIR,3,,,,2.0,,,,,1.0,,,,,,,,,
97520,Shaylon,2305,MIR,4,,,,,,,,,,,,,,,,,,
97795,Marcelinho,364,REM,2,,,,,2.0,,2.0,,,,,,,,,,,
97899,Matheus Bahia,285,INT,2,,,,3.0,,,,1.0,,,,,,1.0,,,,
97900,Vitão,262,FLA,3,,,,1.0,,,,2.0,,,,,1.0,,,,,
98617,Maripán,285,INT,3,,,,1.0,,,,1.0,,,,,,1.0,,,,
98873,Samuel Lino,262,FLA,5,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,
99366,Luis Zubeldía,266,FLU,6,,,,,,,,,,,,,,,,,,
99552,Rossi,262,FLA,1,,,,,,,,,,,,,,,2.0,,1.0,
