abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,commence_time
CHA,RBB,1.85,3.9,3.2,0.487,0.231,,favorito,zebra,2026-05-03T21:30:00Z
INT,FLU,2.5,3.5,2.4,0.363,0.259,,zebra,zebra,2026-05-03T21:30:00Z
CFC,INT,2.2,2.65,2.85,0.384,0.319,,equilibrado,zebra,2026-05-09T19:00:00Z
FLU,VIT,1.45,5.7,3.65,0.605,0.154,,favorito_forte,zebra,2026-05-09T21:00:00Z
BAH,CRU,2.0,3.05,3.1,0.435,0.285,,equilibrado,zebra,2026-05-10T00:00:00Z
CAM,BOT,2.0,3.05,3.05,0.433,0.284,,equilibrado,zebra,2026-05-10T19:00:00Z
REM,PAL,4.3,1.6,3.45,0.203,0.545,,zebra,favorito,2026-05-10T19:00:00Z
SAN,RBB,2.0,3.0,3.15,0.434,0.29,,equilibrado,zebra,2026-05-10T21:30:00Z
MIR,CHA,1.52,4.9,3.5,0.573,0.178,,favorito,zebra,2026-05-10T21:30:00Z
COR,SAO,2.0,3.1,3.0,0.433,0.279,,equilibrado,zebra,2026-05-10T21:30:00Z
GRE,FLA,3.75,1.74,3.25,0.232,0.5,,zebra,favorito,2026-05-10T22:30:00Z
VAS,CAP,1.88,3.4,3.1,0.463,0.256,,favorito,zebra,2026-05-10T23:30:00Z
