aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,nome_casa,nome_visitante
"['v', 'd', 'd', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",Arena da Baixada,,,,2026-07-25 18:30:00,,,,346268,14,285,3,293,1785015000,26,True,fique por dentro,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/25-07-2026/atletico-pr-internacional.ghtml?utm_source=cartolafc,CAP,INT
"['d', 'd', 'd', 'd', 'e']","['d', 'd', 'v', 'd', 'e']",Vila Belmiro,,,,2026-07-25 18:30:00,,,,346423,20,315,15,277,1785015000,26,True,fique por dentro,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/25-07-2026/santos-chapecoense.ghtml?utm_source=cartolafc,SAN,CHA
"['d', 'v', 'd', 'v', 'e']","['d', 'd', 'd', 'd', 'e']",São Januário,,,,2026-07-25 20:30:00,,,,346422,18,2305,17,267,1785022200,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/25-07-2026/vasco-mirassol.ghtml?utm_source=cartolafc,VAS,MIR
"['v', 'e', 'd', 'v', 'e']","['v', 'e', 'v', 'e', 'v']",Mineirão,,,,2026-07-26 16:00:00,,,,346266,9,263,8,283,1785092400,26,True,fique por dentro,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/26-07-2026/cruzeiro-botafogo.ghtml?utm_source=cartolafc,CRU,BOT
"['v', 'd', 'v', 'v', 'v']","['e', 'd', 'v', 'v', 'e']",Casa de Apostas Arena Fonte Nova,,,,2026-07-26 16:00:00,,,,346269,7,264,6,265,1785092400,26,True,fique por dentro,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/26-07-2026/bahia-corinthians.ghtml?utm_source=cartolafc,BAH,COR
"['e', 'v', 'v', 'd', 'd']","['d', 'v', 'v', 'v', 'e']",Cícero de Souza Marques,,,,2026-07-26 18:30:00,,,,346265,10,294,5,280,1785101400,26,True,fique por dentro,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/26-07-2026/bragantino-coritiba.ghtml?utm_source=cartolafc,RBB,CFC
"['e', 'v', 'd', 'e', 'e']","['d', 'e', 'v', 'd', 'd']",Arena do Grêmio,,,,2026-07-26 18:30:00,,,,346267,4,266,16,284,1785101400,26,True,fique por dentro,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/26-07-2026/gremio-fluminense.ghtml?utm_source=cartolafc,GRE,FLU
"['d', 'd', 'e', 'd', 'd']","['v', 'e', 'd', 'v', 'v']",Maracanã,,,,2026-07-26 18:30:00,,,,346421,12,276,2,262,1785101400,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/26-07-2026/flamengo-sao-paulo.ghtml?utm_source=cartolafc,FLA,SAO
"['d', 'v', 'd', 'v', 'e']","['e', 'v', 'd', 'v', 'd']",Mangueirão,,,,2026-07-26 19:30:00,,,,346270,11,287,19,364,1785105000,26,True,fique por dentro,https://ge.globo.com/pa/futebol/brasileirao-serie-a/jogo/26-07-2026/remo-vitoria.ghtml?utm_source=cartolafc,REM,VIT
"['e', 'v', 'd', 'v', 'e']","['e', 'e', 'v', 'v', 'v']",Nubank Parque,,,,2026-07-26 19:30:00,,,,346424,13,282,1,275,1785105000,26,True,fique por dentro,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/26-07-2026/palmeiras-atletico-mg.ghtml?utm_source=cartolafc,PAL,CAM
