time,adversario,mandante,prob_vitoria,forca,adv_gc_pg,n_provaveis,n_valor_oculto,n_valor_bom,media_residuo_z,media_pb,preco_medio,concentracao_valor,momentum_of,momentum_def,sequencia,score_time,tier_time
REM,BOT,False,0.545,favorito,1.8333333333333333,12,0,5,0.272,2.55,5.44,0.417,0.933,0.817,1.0,0.72,A
INT,FLU,True,0.363,zebra,1.5,12,0,6,0.328,2.404,5.81,0.5,1.083,0.929,1.0,0.64,B
RBB,CHA,False,0.0,,2.142857142857143,12,0,5,0.299,2.671,6.32,0.417,1.56,0.867,-1.0,0.598,B
BAH,SAO,False,0.285,zebra,0.7142857142857143,12,0,9,0.732,3.271,8.08,0.75,0.958,1.462,2.0,0.564,B
MIR,COR,True,0.573,favorito,0.8333333333333334,10,0,3,0.048,2.304,5.83,0.3,0.923,1.067,-1.0,0.55,B
CFC,VIT,False,0.319,zebra,0.42857142857142855,12,2,4,0.657,2.462,5.7,0.5,1.05,1.318,-2.0,0.546,C
VIT,CFC,True,0.0,,1.625,12,0,6,0.567,3.077,7.01,0.5,1.3,0.722,1.0,0.545,C
CHA,RBB,True,0.487,favorito,1.1666666666666667,12,0,2,0.044,2.605,4.93,0.167,0.6,1.3,-3.0,0.497,C
BOT,REM,True,0.0,,2.0,12,1,2,0.263,2.962,8.92,0.25,1.144,0.8,-1.0,0.44,C
PAL,SAN,True,0.0,,2.0,12,0,7,0.381,2.907,9.2,0.583,0.583,0.509,9.0,0.43,C
FLA,VAS,True,0.0,,1.7142857142857142,12,0,4,0.357,3.025,10.56,0.333,1.3,0.867,5.0,0.43,C
FLU,INT,False,0.154,zebra,1.1428571428571428,12,2,2,0.086,2.548,7.39,0.333,1.13,1.137,2.0,0.418,C
SAN,PAL,False,0.29,zebra,0.7142857142857143,12,0,3,0.224,2.926,7.87,0.25,1.032,1.145,2.0,0.413,C
CAP,GRE,True,0.0,,1.375,12,0,4,0.325,2.318,6.56,0.333,0.84,0.747,2.0,0.389,D
COR,MIR,False,0.279,zebra,1.5,11,0,3,0.029,3.067,9.32,0.273,0.578,0.945,3.0,0.38,D
CAM,CRU,False,0.284,zebra,1.25,12,0,2,-0.193,2.472,7.05,0.167,0.824,1.26,1.0,0.375,D
GRE,CAP,False,0.5,favorito,0.625,12,0,4,-0.048,2.322,6.44,0.333,0.187,0.35,2.0,0.366,D
SAO,BAH,True,0.0,,1.4285714285714286,12,0,3,0.207,3.003,9.46,0.25,1.179,1.508,2.0,0.36,D
CRU,CAM,True,0.0,,1.25,12,1,3,0.201,2.896,8.84,0.333,1.089,0.933,-1.0,0.35,D
VAS,FLA,False,0.256,zebra,0.6666666666666666,12,0,3,-0.092,2.217,6.8,0.25,0.84,0.933,1.0,0.332,D
