atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.898,valor_bom,0.0,0.0,0.0,47.2,neutro,0.0
78850,Reinaldo,MIR,Lateral,7,7.75,-0.3,0.54,8,0.0,True,False,SAO,-1.556,armadilha_forte,2.975,0.54,1.0,29.2,desfavoravel,1.74
141776,Gustavo Henrique,SAN,Meia,6,2.56,-0.13,1.57,6,1.2,True,False,BAH,0.328,neutro,1.188,1.57,0.75,34.7,desfavoravel,0.62
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.898,valor_bom,0.0,0.0,0.0,47.2,neutro,0.0
39148,Hulk,CAM,Atacante,7,11.8,0.16,4.55,12,3.5,True,True,FLA,-0.224,neutro,4.628,2.63,1.0,45.5,neutro,4.21
80287,Luciano,SAO,Atacante,7,14.33,1.15,4.71,10,8.0,True,True,MIR,-0.69,armadilha_leve,4.725,1.81,1.0,56.8,neutro,5.37
100652,Yuri Alberto,COR,Atacante,7,10.84,-0.68,2.68,8,1.2,True,True,VAS,-0.946,armadilha_leve,3.712,1.68,1.0,50.1,neutro,3.72
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,False,REM,-0.502,armadilha_leve,0.0,0.0,0.0,47.4,neutro,0.0
89368,Braithwaite,GRE,Atacante,6,7.74,-0.95,0.68,5,0.8,True,True,CFC,-0.551,armadilha_leve,3.181,0.68,0.625,33.8,neutro,1.34
115025,Miguelito,SAN,Meia,6,4.04,0.0,1.9,4,0.0,False,False,BAH,0.002,neutro,1.898,1.9,0.5,34.7,desfavoravel,0.66
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,False,REM,1.335,valor_bom,0.934,1.2,0.125,60.5,neutro,0.14
133673,Mateus Xavier,SAN,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,BAH,-0.544,armadilha_leve,0.0,0.0,0.0,35.0,desfavoravel,0.0
106104,Enamorado,GRE,Atacante,7,7.91,0.13,3.91,11,6.0,True,True,CFC,0.529,valor_bom,4.261,3.46,1.0,33.8,neutro,2.88
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.743,valor_bom,0.0,0.0,0.0,47.4,neutro,0.0
86292,Bolasie,CHA,Atacante,7,4.25,1.05,1.25,10,5.0,True,False,FLU,-0.631,armadilha_leve,1.586,0.75,1.0,24.9,desfavoravel,0.79
94583,Pedro,FLA,Atacante,7,16.98,-1.62,8.2,10,7.9,True,False,CAM,0.856,valor_bom,6.664,2.7,1.0,55.0,neutro,7.33
128433,Johan Rojas,VAS,Meia,7,4.11,-0.47,1.73,10,1.3,True,False,COR,-0.149,neutro,1.804,1.23,1.0,47.1,neutro,1.7
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,False,SAO,0.146,neutro,1.711,1.0,0.125,29.2,desfavoravel,0.12
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.743,valor_bom,0.0,0.0,0.0,47.4,neutro,0.0
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,REM,0.689,valor_bom,0.0,0.0,0.0,47.9,neutro,0.0
78946,Dória,SAO,Zagueiro,6,6.45,0.0,0.0,1,0.0,False,True,MIR,0.494,neutro,3.486,0.0,0.125,59.3,neutro,0.52
103445,Kaio Jorge,CRU,Atacante,7,11.76,-0.27,4.26,7,2.1,True,False,REM,-0.331,neutro,4.518,1.97,0.875,59.8,neutro,4.73
114802,Vitor Roque,PAL,Atacante,6,17.01,-0.98,7.6,7,0.9,True,False,RBB,0.231,neutro,6.077,4.17,0.875,52.5,neutro,5.58
145400,Cauê,RBB,Lateral,6,4.87,0.0,5.25,2,0.0,False,True,PAL,0.923,valor_bom,3.833,3.75,0.25,46.8,neutro,0.9
101908,Willian Machado,MIR,Zagueiro,7,5.33,0.93,2.61,8,6.5,True,False,SAO,-0.09,neutro,2.489,2.61,1.0,29.4,desfavoravel,1.46
118655,Saldivia,VAS,Zagueiro,3,4.71,0.0,2.01,8,0.0,False,False,COR,-0.099,neutro,2.189,2.01,1.0,68.1,neutro,2.98
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,True,CRU,-1.386,armadilha_leve,0.0,0.0,0.0,63.4,neutro,0.0
108713,Galeano,MIR,Atacante,6,5.54,0.0,1.74,7,0.0,False,False,SAO,-1.01,armadilha_leve,1.882,1.74,0.875,24.8,desfavoravel,0.82
126120,Marcelinho,RBB,Meia,7,3.11,-0.6,2.93,3,-0.7,True,True,PAL,0.162,neutro,1.454,1.26,0.375,48.4,neutro,0.53
131516,JP Chermont,CFC,Lateral,6,5.45,0.0,4.33,7,0.0,False,False,GRE,0.606,valor_bom,3.876,2.33,0.875,44.0,neutro,2.98
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,COR,0.689,valor_bom,0.0,0.0,0.0,68.6,neutro,0.0
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,False,SAO,-3.647,armadilha_forte,0.0,0.0,0.0,24.1,desfavoravel,0.0
132412,Román Gómez,BAH,Lateral,6,8.47,0.0,7.1,2,0.0,False,True,SAN,1.165,valor_bom,5.748,5.6,0.25,57.8,neutro,1.66
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,True,INT,-2.12,armadilha_forte,0.0,0.0,0.0,41.0,neutro,0.0
115986,Denilson,MIR,Meia,7,4.29,0.24,1.28,4,2.7,True,False,SAO,-0.39,neutro,1.691,1.28,0.5,24.1,desfavoravel,0.41
51413,Walter,MIR,Goleiro,7,6.3,0.17,3.5,10,5.8,True,False,SAO,0.704,valor_bom,3.804,3.5,1.0,29.9,desfavoravel,2.27
94514,Lucas Oliveira,MIR,Zagueiro,7,6.61,2.7,4.63,3,12.0,True,False,SAO,1.113,valor_bom,4.115,2.63,0.375,29.4,desfavoravel,0.91
141139,Mateus Iseppe,CAM,Meia,6,2.0,0.0,0.0,0,0.0,False,True,FLA,-0.461,neutro,0.0,0.0,0.0,45.6,neutro,0.0
141131,Vitão,CAM,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,True,FLA,0.743,valor_bom,0.0,0.0,0.0,46.4,neutro,0.0
146894,João Bom,CHA,Atacante,6,2.0,0.0,0.0,0,0.0,False,False,FLU,-0.544,armadilha_leve,0.0,0.0,0.0,24.9,desfavoravel,0.0
114040,Minda,CAM,Atacante,5,7.36,0.0,1.93,4,0.0,False,True,FLA,0.249,neutro,3.806,1.93,0.5,45.5,neutro,1.73
90061,Bruno Pacheco,CHA,Lateral,7,5.86,0.93,2.22,4,6.7,True,False,FLU,-0.525,armadilha_leve,3.059,2.22,0.5,28.9,desfavoravel,0.88
147090,Kauã Pascini,CAM,Lateral,6,2.85,0.0,5.0,1,0.0,False,True,FLA,0.722,valor_bom,2.156,2.0,0.125,46.2,neutro,0.25
103183,Andrew,FLA,Goleiro,6,3.0,0.0,0.0,0,0.0,False,False,CAM,-1.184,armadilha_leve,0.0,0.0,0.0,47.8,neutro,0.0
