atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
141776,Gustavo Henrique,SAN,Meia,5,2.56,0.0,1.57,6,0.0,False,True,RBB,0.366,neutro,1.288,1.57,0.75,42.7,neutro,0.82,0.25,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
147297,William Fernando,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.669,valor_bom,0.0,0.0,0.0,37.9,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
100652,Yuri Alberto,COR,Atacante,7,10.38,-0.07,2.43,10,1.9,True,True,SAO,-1.386,armadilha_leve,3.487,1.63,1.0,38.7,neutro,2.7,0.25,0.0,0.56,0.646,1.179,1.508,0.425,0.449,
142049,Bruno Alves,CRU,Zagueiro,6,2.0,0.0,0.0,0,0.0,False,False,BAH,-0.704,armadilha_leve,0.0,0.0,0.0,38.1,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
133673,Mateus Xavier,SAN,Atacante,6,2.33,0.33,1.2,1,1.2,True,True,RBB,-0.034,neutro,0.836,1.2,0.125,42.2,neutro,0.09,0.25,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
144423,Nicolas Pontes,CRU,Lateral,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.669,valor_bom,0.0,0.0,0.0,37.9,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
39148,Hulk,FLU,Atacante,6,11.8,0.0,4.55,12,0.0,False,True,VIT,-0.449,neutro,4.653,2.63,1.0,73.8,neutro,6.87,1.0,74.6,0.852,1.244,1.3,0.722,0.5,0.489,
115025,Miguelito,SAN,Meia,6,3.42,0.0,1.5,5,0.0,False,True,RBB,-0.403,neutro,1.239,1.5,0.625,42.7,neutro,0.66,0.25,4.8,1.032,1.217,1.318,1.05,0.275,0.479,
146991,Rhuan Gabriel,CRU,Meia,6,1.39,0.0,1.2,1,0.0,False,False,BAH,1.445,valor_bom,1.09,1.2,0.125,52.9,neutro,0.14,0.5,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
123649,Janderson,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.542,valor_bom,0.0,0.0,0.0,38.1,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
142130,Marcelo Eráclito,CRU,Goleiro,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.489,neutro,0.0,0.0,0.0,38.7,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
106104,Enamorado,GRE,Atacante,6,7.35,-0.65,3.89,13,1.5,True,True,FLA,0.616,valor_bom,4.24,3.12,1.0,29.2,neutro,2.48,0.25,15.9,0.35,0.35,1.3,0.867,0.525,0.252,
86292,Bolasie,CHA,Atacante,7,5.4,1.15,2.08,11,10.4,True,False,MIR,-0.923,armadilha_leve,2.1,0.9,1.0,41.7,neutro,1.75,0.85,-31.4,0.8,1.1,0.867,0.821,0.05,0.291,
94583,Pedro,FLA,Atacante,7,18.02,-0.23,9.11,12,11.8,True,False,GRE,1.317,valor_bom,7.389,2.53,1.0,43.0,neutro,6.35,0.35,-15.9,1.3,0.867,0.35,0.35,0.85,,
91639,Igor Cariús,MIR,Lateral,6,2.94,0.0,1.0,1,0.0,False,True,CHA,0.068,neutro,1.743,1.0,0.125,79.7,favoravel,0.35,0.95,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
147287,Kaiquy Luiz,CRU,Zagueiro,6,1.0,0.0,0.0,0,0.0,False,False,BAH,0.542,valor_bom,0.0,0.0,0.0,38.1,desfavoravel,0.0,0.4,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
128433,Johan Rojas,VAS,Meia,7,4.2,0.05,1.78,12,2.1,True,True,CAP,-0.248,neutro,1.829,1.36,1.0,57.0,neutro,2.09,0.6,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
118655,Saldivia,VAS,Zagueiro,6,5.08,0.0,2.1,9,0.0,False,True,CAP,-0.277,neutro,2.26,2.1,1.0,70.4,neutro,3.18,0.725,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
51413,Walter,MIR,Goleiro,7,5.32,0.11,2.88,12,0.6,True,True,CHA,0.219,neutro,2.977,2.88,1.0,79.2,favoravel,4.72,0.95,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
103445,Kaio Jorge,CRU,Atacante,7,13.08,2.16,4.72,9,13.0,True,False,BAH,-0.668,armadilha_leve,4.761,2.05,1.0,51.2,neutro,4.88,0.5,-27.8,1.089,0.933,0.958,1.462,0.6,,0.501
78946,Dória,SAO,Zagueiro,7,7.22,0.0,2.5,2,0.0,False,False,COR,0.292,neutro,3.561,1.0,0.25,63.4,neutro,1.13,0.95,0.0,1.179,1.508,0.56,0.646,0.5,,
112367,Thalisson Gabriel,REM,Zagueiro,6,3.0,0.0,0.0,0,0.0,False,True,PAL,-1.588,armadilha_forte,0.0,0.0,0.0,27.5,neutro,0.0,0.125,-33.4,0.933,0.817,0.672,0.509,0.425,0.23,
115986,Denilson,MIR,Meia,7,4.16,0.59,1.48,6,3.6,True,True,CHA,-0.347,neutro,1.722,1.48,0.75,70.1,neutro,1.81,0.75,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
101908,Willian Machado,MIR,Zagueiro,6,4.45,-0.7,2.48,10,-0.3,True,True,CHA,0.291,neutro,2.462,2.48,1.0,80.4,favoravel,3.96,0.95,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
108713,Galeano,MIR,Atacante,6,4.62,-0.92,1.42,8,-0.8,True,True,CHA,-0.833,armadilha_leve,1.774,1.42,1.0,70.0,neutro,2.48,0.75,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
133696,Wallace Davi,BOT,Meia,6,4.0,0.0,0.0,0,0.0,False,False,CAM,-2.258,armadilha_forte,0.0,0.0,0.0,65.9,neutro,0.0,0.9,-18.2,1.144,0.8,0.824,1.26,0.5,0.277,
145400,Cauê,RBB,Lateral,6,4.23,-0.64,3.47,3,-0.1,True,False,SAN,0.847,valor_bom,3.432,2.47,0.375,53.8,neutro,1.38,0.65,-4.8,1.318,1.05,1.032,1.217,0.6,0.209,
126182,Paulinho,INT,Meia,5,4.3,0.0,2.42,12,0.0,False,False,CFC,0.139,neutro,2.213,2.42,1.0,50.1,neutro,2.22,0.175,5.6,1.2,0.8,1.05,1.4,0.6,0.252,
81121,Lucas Mugni,MIR,Meia,6,7.0,0.0,0.0,0,0.0,False,True,CHA,-3.805,armadilha_forte,0.0,0.0,0.0,70.1,neutro,0.0,0.75,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
94514,Lucas Oliveira,MIR,Zagueiro,7,5.11,0.0,3.6,4,0.0,False,True,CHA,0.358,neutro,2.826,2.1,0.5,80.4,favoravel,2.27,0.95,31.4,0.867,0.821,0.8,1.1,0.5,0.62,
130280,Phillipe Gabriel,VAS,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,CAP,0.489,neutro,0.0,0.0,0.0,69.6,favoravel,0.0,0.725,39.7,0.84,0.933,0.84,0.747,0.425,0.476,
