atleta_id,nome,clube,posicao,pontuacao,entrou_em_campo,scout_DS,scout_FF,scout_FT,scout_FS,scout_FC,scout_G,scout_I,scout_V,scout_FD,scout_CA,scout_SG,scout_DE,scout_GC,scout_GS,scout_A
101254,Alef Manga,REM,Atacante,5.3,True,1.0,1.0,1.0,,,,,,,,,,,,
101820,Mayk,REM,Lateral,0.5,True,,,,1.0,,,,,,,,,,,
101908,Willian Machado,MIR,Zagueiro,0.0,True,,,,,,,,,,,,,,,
101960,Vitinho,INT,Atacante,14.2,True,4.0,,,1.0,1.0,1.0,,,,,,,,,
102911,Zé Ricardo,REM,Meia,3.4,True,1.0,1.0,,3.0,1.0,,1.0,,,,,,,,
103347,Matheus Alexandre,REM,Lateral,0.0,True,,,,,,,,,,,,,,,
103967,Bruno Santos,MIR,Atacante,-0.4,True,,,,,1.0,,1.0,,,,,,,,
104027,Rafael Guanaes,MIR,Técnico,4.4,True,,,,,,,,1.0,,,,,,,
104204,Edson Carioca,MIR,Atacante,2.1,True,1.0,,,,2.0,,,,1.0,,,,,,
105048,Jajá,REM,Atacante,1.5,True,1.0,,,,,,,,,,,,,,
105157,Villagra,INT,Meia,1.2,True,1.0,,,,1.0,,,,,,,,,,
105436,Carrascal,FLA,Meia,3.7,True,1.0,,,2.0,,,,,1.0,,,,,,
106202,Bruno Gomes,INT,Meia,4.0,True,2.0,,,2.0,,,,,,,,,,,
106708,Igor Formiga,MIR,Lateral,1.7,True,2.0,,,,1.0,,,,,1.0,,,,,
106907,Rafael Lacerda,CHA,Técnico,0.0,False,,,,,,,,,,,,,,,
107989,Carbonero,INT,Atacante,5.9,True,1.0,3.0,,3.0,2.0,,1.0,,1.0,,,,,,
110426,Bernabei,INT,Lateral,7.0,True,1.0,,,1.0,,,,,,,1.0,,,,
110506,Abel Ferreira,PAL,Técnico,0.0,False,,,,,,,,,,,,,,,
111690,Matheus Cunha,INT,Goleiro,7.6,True,,,,,,,,,,,1.0,2.0,,,
113125,Picco,REM,Meia,14.5,True,4.0,,,1.0,,1.0,,,,,,,,,
115479,Paulo Pezzolano,INT,Técnico,7.89,True,,,,,,,,1.0,,,,,,,
115914,Evertton Araújo,FLA,Meia,0.9,True,1.0,,,,2.0,,,,,,,,,,
115986,Denilson,MIR,Meia,11.8,True,8.0,,,2.0,4.0,,,,,,,,,,
117061,Gabriel Knesowitsch,MIR,Zagueiro,-1.6,True,,,,,2.0,,,,,1.0,,,,,
122660,Japa,MIR,Meia,3.0,True,2.0,,,,,,,,,,,,,,
126182,Paulinho,INT,Meia,0.0,True,,,,,,,,,,,,,,,
126977,Fernando Seabra,CFC,Técnico,0.0,False,,,,,,,,,,,,,,,
127273,Artur Jorge,CRU,Técnico,0.0,False,,,,,,,,,,,,,,,
128177,Pedro Emanuel,VAS,Técnico,0.0,False,,,,,,,,,,,,,,,
149990,Franclim Carvalho,BOT,Técnico,0.0,False,,,,,,,,,,,,,,,
37457,Léo Condé,REM,Técnico,3.1,True,,,,,,,,,,,,,,,
39850,Vagner Mancini,RBB,Técnico,0.0,False,,,,,,,,,,,,,,,
40990,Dorival Júnior,SAO,Técnico,0.0,False,,,,,,,,,,,,,,,
42411,Cuca,SAN,Técnico,0.0,False,,,,,,,,,,,,,,,
61987,Alex Sandro,FLA,Lateral,-0.3,True,,,,,1.0,,,,,,,,,,
68685,Alan Patrick,INT,Meia,5.3,True,2.0,2.0,,2.0,1.0,,,,,,,,,,
68708,Eduardo,MIR,Meia,0.2,True,,1.0,,,2.0,,,,,,,,,,
69783,Danilo,FLA,Zagueiro,1.5,True,1.0,,,,,,,,,,,,,,
70666,Marllon,REM,Zagueiro,-3.0,True,,,,,,,,,,,,,1.0,,
70944,Bruno Henrique,INT,Meia,0.2,True,,1.0,,,2.0,,,,,,,,,,
72279,Thomazella,MIR,Goleiro,0.3,True,,,,,,,,,,,,1.0,,1.0,
72391,Fernando Diniz,COR,Técnico,0.0,False,,,,,,,,,,,,,,,
72951,Mercado,INT,Zagueiro,10.0,True,3.0,,,1.0,,,,,,,1.0,,,,
78850,Reinaldo,MIR,Lateral,6.2,True,1.0,,,,1.0,,,,,,,,,,1.0
80196,Yago Pikachu,REM,Meia,0.0,True,,,,,,,,,,,,,,,
82730,Marcelo Rangel,REM,Goleiro,0.6,True,,,,,,,,,,,,2.0,,2.0,
83433,Patrick,REM,Meia,5.2,True,3.0,,,2.0,1.0,,,,,,,,,,
83528,Léo Pereira,FLA,Zagueiro,1.0,True,,,,2.0,,,,,,,,,,,
84735,Jorginho,FLA,Meia,2.9,True,2.0,,,1.0,2.0,,,,,,,,,,
84816,Varela,FLA,Lateral,-0.3,True,,,,,1.0,,,,,,,,,,
87863,Arrascaeta,FLA,Meia,1.8,True,,1.0,,2.0,,,,,,,,,,,
88037,Luís Castro,GRE,Técnico,0.0,False,,,,,,,,,,,,,,,
88963,Leonardo Jardim,FLA,Técnico,1.51,True,,,,,,,,,,,,,,,
90285,Bruno Henrique,FLA,Atacante,0.0,True,,,,,,,,,,,,,,,
91473,Erick Pulgar,FLA,Meia,1.5,True,1.0,,,,,,,,,,,,,,
91866,Zé Ivaldo,REM,Zagueiro,1.5,True,1.0,,,,,,,,,,,,,,
92180,Jair Ventura,VIT,Técnico,0.0,False,,,,,,,,,,,,,,,
92182,Juninho,INT,Zagueiro,5.0,True,,,,,,,,,,,1.0,,,,
92273,Odair Hellmann,CAP,Técnico,0.0,False,,,,,,,,,,,,,,,
92747,Eduardo Domínguez,CAM,Técnico,0.0,False,,,,,,,,,,,,,,,
94583,Pedro,FLA,Atacante,0.2,True,,,,1.0,1.0,,,,,,,,,,
95131,Gabriel Taliari,REM,Atacante,2.0,True,,1.0,,3.0,1.0,,,,,,,,,,
96870,Emerson Royal,FLA,Lateral,0.0,True,,,,,,,,,,,,,,,
97341,Rogério Ceni,BAH,Técnico,0.0,False,,,,,,,,,,,,,,,
97450,Gustavo Mosquito,MIR,Atacante,3.1,True,1.0,,,1.0,,,1.0,,1.0,,,,,,
97460,João Victor,MIR,Zagueiro,11.0,True,2.0,,,,,1.0,,,,,,,,,
97520,Shaylon,MIR,Meia,0.0,True,,,,,,,,,,,,,,,
97795,Marcelinho,REM,Lateral,2.6,True,,2.0,,2.0,,,,,,,,,,,
97899,Matheus Bahia,INT,Lateral,9.2,True,3.0,,,,1.0,,,,,,1.0,,,,
97900,Vitão,FLA,Zagueiro,-0.1,True,1.0,,,,2.0,,,,,1.0,,,,,
98617,Maripán,INT,Zagueiro,6.2,True,1.0,,,,1.0,,,,,,1.0,,,,
98873,Samuel Lino,FLA,Atacante,2.2,True,,1.0,,1.0,1.0,,,,1.0,,,,,,
99366,Luis Zubeldía,FLU,Técnico,0.0,False,,,,,,,,,,,,,,,
99552,Rossi,FLA,Goleiro,1.6,True,,,,,,,,,,,,2.0,,1.0,
