abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,forca_casa,forca_vis,commence_time
CFC,REM,1.02,450.0,15.0,0.934,0.002,favorito_forte,zebra,2026-03-15T21:31:00Z
PAL,MIR,1.02,800.0,19.0,0.948,0.001,favorito_forte,zebra,2026-03-15T21:31:00Z
RBB,SAO,2.42,3.05,3.1,0.388,0.308,equilibrado,zebra,2026-03-15T23:30:00Z
CRU,VAS,1.9,4.2,3.35,0.495,0.224,favorito,zebra,2026-03-15T23:30:00Z
CHA,GRE,2.65,2.35,3.15,0.337,0.38,zebra,equilibrado,2026-03-16T23:00:00Z
BAH,RBB,1.8,4.2,3.7,0.522,0.224,favorito,zebra,2026-03-18T22:00:00Z
PAL,BOT,1.49,6.4,4.25,0.632,0.147,favorito_forte,zebra,2026-03-18T22:00:00Z
CAP,CRU,2.85,2.48,3.25,0.33,0.38,zebra,equilibrado,2026-03-18T22:30:00Z
CAM,SAO,2.0,3.7,3.45,0.472,0.255,equilibrado,zebra,2026-03-18T23:00:00Z
MIR,CFC,1.71,4.8,3.65,0.548,0.195,favorito,zebra,2026-03-18T23:00:00Z
VAS,FLU,3.0,2.32,3.3,0.312,0.404,zebra,equilibrado,2026-03-19T00:30:00Z
SAN,INT,2.07,3.3,3.4,0.447,0.281,equilibrado,zebra,2026-03-19T00:30:00Z
GRE,VIT,1.65,5.0,3.9,0.57,0.188,favorito,zebra,2026-03-19T22:00:00Z
FLA,REM,1.16,17.0,7.0,0.81,0.055,favorito_forte,zebra,2026-03-19T23:00:00Z
CHA,COR,3.0,2.32,3.15,0.308,0.398,zebra,equilibrado,2026-03-20T00:30:00Z
RBB,BOT,2.05,3.35,3.35,0.45,0.275,equilibrado,zebra,2026-03-21T19:00:00Z
FLU,CAM,1.82,4.2,3.4,0.508,0.22,favorito,zebra,2026-03-21T21:30:00Z
SAO,PAL,2.9,2.33,3.25,0.319,0.397,zebra,equilibrado,2026-03-22T00:00:00Z
CAP,CFC,1.91,4.1,3.35,0.491,0.229,favorito,zebra,2026-03-22T19:00:00Z
REM,BAH,3.05,2.3,3.35,0.309,0.41,zebra,equilibrado,2026-03-22T19:00:00Z
CRU,SAN,1.61,5.3,3.9,0.583,0.177,favorito,zebra,2026-03-22T19:00:00Z
VAS,GRE,1.88,3.95,3.6,0.5,0.238,favorito,zebra,2026-03-22T19:00:00Z
INT,CHA,1.43,6.5,4.35,0.646,0.142,favorito_forte,zebra,2026-03-22T21:30:00Z
VIT,MIR,2.65,2.5,3.25,0.348,0.369,zebra,zebra,2026-03-22T21:30:00Z
COR,FLA,3.4,2.17,3.25,0.277,0.434,zebra,equilibrado,2026-03-22T23:30:00Z
