abr_casa,abr_vis,odd_casa,odd_vis,odd_empate,prob_casa,prob_vis,prob_over_25,forca_casa,forca_vis,commence_time
BOT,REM,1.55,5.9,3.95,0.604,0.159,0.513,favorito,zebra,2026-05-02T19:00:00Z
VIT,CFC,2.15,3.3,3.1,0.426,0.278,,equilibrado,zebra,2026-05-02T21:30:00Z
PAL,SAN,1.44,6.0,3.9,0.621,0.149,,favorito_forte,zebra,2026-05-02T21:30:00Z
CAP,GRE,1.85,4.15,3.45,0.505,0.225,0.469,favorito,zebra,2026-05-02T23:30:00Z
CRU,CAM,1.84,3.65,3.1,0.477,0.24,,favorito,zebra,2026-05-03T00:00:00Z
SAO,BAH,1.93,3.4,3.05,0.454,0.258,,favorito,zebra,2026-05-03T19:00:00Z
FLA,VAS,1.44,6.0,4.0,0.625,0.15,,favorito_forte,zebra,2026-05-03T19:00:00Z
CHA,RBB,3.45,2.08,3.35,0.271,0.45,0.469,zebra,equilibrado,2026-05-03T21:30:00Z
INT,FLU,2.22,3.25,3.15,0.419,0.286,0.422,equilibrado,zebra,2026-05-03T21:30:00Z
MIR,COR,2.28,3.25,3.05,0.408,0.286,0.409,equilibrado,zebra,2026-05-03T23:30:00Z
CFC,INT,2.2,2.85,2.9,0.395,0.305,,equilibrado,zebra,2026-05-09T19:00:00Z
FLU,VIT,1.49,5.2,3.5,0.584,0.167,,favorito_forte,zebra,2026-05-09T21:00:00Z
BAH,CRU,2.05,3.05,3.0,0.425,0.285,,equilibrado,zebra,2026-05-10T00:00:00Z
CAM,BOT,1.99,3.1,3.05,0.436,0.28,,favorito,zebra,2026-05-10T19:00:00Z
REM,PAL,4.85,1.54,3.4,0.179,0.565,,zebra,favorito,2026-05-10T19:00:00Z
SAN,RBB,1.95,3.3,3.0,0.446,0.264,,favorito,zebra,2026-05-10T21:30:00Z
MIR,CHA,1.55,4.9,3.3,0.56,0.177,,favorito,zebra,2026-05-10T21:30:00Z
COR,SAO,2.05,3.15,2.9,0.424,0.276,,equilibrado,zebra,2026-05-10T21:30:00Z
GRE,FLA,3.35,1.91,3.05,0.26,0.455,,zebra,favorito,2026-05-10T22:30:00Z
VAS,CAP,1.88,3.45,3.05,0.463,0.252,,favorito,zebra,2026-05-10T23:30:00Z
