aproveitamento_visitante,aproveitamento_mandante,local,status_transmissao_tr,status_cronometro_tr,periodo_tr,partida_data,inicio_cronometro_tr,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,transmissao.label,transmissao.url,lambda_gols_casa,lambda_gols_vis,prob_btts_aprox
"['d', 'e', 'v', 'v', 'e']","['e', 'v', 'e', 'd', 'e']",Maracanã,ENCERRADA,PAUSADO,POS_JOGO,2026-05-30 16:00:00,2026-05-30T21:02:44.436Z,0.0,3.0,346505,6,294,2,262,1780167600,26,True,saiba como foi,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/30-05-2026/flamengo-coritiba.ghtml?utm_source=cartolafc,1.8,1.5,0.648
"['v', 'e', 'd', 'v', 'e']","['e', 'd', 'e', 'v', 'e']",Arena da Baixada,ENCERRADA,PAUSADO,POS_JOGO,2026-05-30 16:00:00,2026-05-30T20:58:35.971Z,0.0,1.0,346512,18,2305,3,293,1780167600,26,True,saiba como foi,https://ge.globo.com/pr/futebol/brasileirao-serie-a/jogo/30-05-2026/atletico-pr-mirassol.ghtml?utm_source=cartolafc,1.0,0.8,0.348
"['d', 'v', 'd', 'v', 'e']","['e', 'd', 'e', 'v', 'e']",Arena do Grêmio,EM_ANDAMENTO,INICIADO,SEGUNDO_TEMPO,2026-05-30 17:30:00,2026-05-30T21:36:23.564Z,3.0,1.0,346511,9,264,15,284,1780173000,26,True,ao vivo,https://ge.globo.com/rs/futebol/brasileirao-serie-a/jogo/30-05-2026/gremio-corinthians.ghtml?utm_source=cartolafc,1.2,1.1,0.466
"['d', 'e', 'v', 'e', 'e']","['e', 'd', 'e', 'd', 'e']",Casa de Apostas Arena Fonte Nova,EM_ANDAMENTO,INICIADO,SEGUNDO_TEMPO,2026-05-30 17:30:00,2026-05-30T21:42:27.385Z,1.0,1.0,346513,10,263,8,265,1780173000,26,True,ao vivo,https://ge.globo.com/ba/futebol/brasileirao-serie-a/jogo/30-05-2026/bahia-botafogo.ghtml?utm_source=cartolafc,1.5,1.8,0.648
"['v', 'e', 'd', 'v', 'e']","['e', 'v', 'd', 'd', 'e']",Vila Belmiro,EM_ANDAMENTO,PAUSADO,PRE_JOGO,2026-05-30 20:00:00,2026-05-30T21:59:36.072Z,,,346507,12,287,17,277,1780182000,26,True,ao vivo,https://ge.globo.com/sp/santos-e-regiao/futebol/brasileirao-serie-a/jogo/30-05-2026/santos-vitoria.ghtml?utm_source=cartolafc,1.5,1.8,0.648
"['e', 'v', 'e', 'v', 'd']","['d', 'v', 'd', 'v', 'v']",Cícero de Souza Marques,CRIADA,PAUSADO,,2026-05-31 11:00:00,,,,346509,14,285,5,280,1780236000,26,True,fique por dentro,https://ge.globo.com/sp/vale-do-paraiba-regiao/futebol/brasileirao-serie-a/jogo/31-05-2026/bragantino-internacional.ghtml?utm_source=cartolafc,1.4,1.4,0.568
"['d', 'v', 'e', 'v', 'd']","['d', 'e', 'v', 'd', 'd']",São Januário,CRIADA,PAUSADO,,2026-05-31 16:00:00,,,,346506,13,282,16,267,1780254000,26,True,fique por dentro,https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/31-05-2026/vasco-atletico-mg.ghtml?utm_source=cartolafc,1.2,1.7,0.571
"['d', 'd', 'e', 'd', 'd']","['v', 'e', 'e', 'e', 'v']",Allianz Parque,CRIADA,PAUSADO,,2026-05-31 16:00:00,,,,346508,20,315,1,275,1780254000,26,True,fique por dentro,https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/31-05-2026/palmeiras-chapecoense.ghtml?utm_source=cartolafc,1.7,0.9,0.485
"['v', 'd', 'e', 'v', 'd']","['v', 'd', 'v', 'e', 'v']",Mineirão,CRIADA,PAUSADO,,2026-05-31 20:30:00,,,,346510,4,266,11,283,1780270200,26,True,fique por dentro,https://ge.globo.com/mg/futebol/brasileirao-serie-a/jogo/31-05-2026/cruzeiro-fluminense.ghtml?utm_source=cartolafc,1.4,1.2,0.526
"['v', 'e', 'd', 'd', 'e']","['d', 'v', 'e', 'v', 'd']",Mangueirão,CRIADA,PAUSADO,,2026-05-31 20:30:00,,,,346514,7,276,19,364,1780270200,26,True,fique por dentro,https://ge.globo.com/pa/futebol/brasileirao-serie-a/jogo/31-05-2026/remo-sao-paulo.ghtml?utm_source=cartolafc,1.5,1.4,0.585
