time,adversario,mandante,prob_vitoria,forca,adv_gc_pg,n_provaveis,n_valor_oculto,n_valor_bom,media_residuo_z,media_pb,preco_medio,concentracao_valor,momentum_of,momentum_def,sequencia,score_time,tier_time
INT,MIR,True,0.528,favorito,1.75,10,0,7,0.587,2.668,6.58,0.7,1.467,0.44,5.0,0.833,A
PAL,CAP,True,0.598,favorito,1.8,9,0,6,0.418,3.749,11.54,0.667,0.733,0.66,6.0,0.643,B
RBB,REM,True,0.295,zebra,1.8333333333333333,12,1,4,0.325,2.903,7.03,0.417,1.2,1.1,-1.0,0.608,B
CFC,CAM,True,0.379,zebra,1.1666666666666667,12,1,5,0.635,2.693,6.36,0.5,0.846,1.1,3.0,0.593,B
CAM,CFC,False,0.446,equilibrado,0.8,11,1,4,0.563,3.128,7.95,0.455,1.1,0.508,-1.0,0.579,B
REM,RBB,False,0.42,equilibrado,1.0,12,0,6,0.383,2.974,6.75,0.5,1.0,0.856,2.0,0.568,B
BAH,FLA,False,0.214,zebra,0.5,10,1,6,0.823,3.646,8.32,0.7,1.2,1.4,1.0,0.551,B
VIT,COR,True,0.372,equilibrado,1.0,11,0,7,0.502,3.068,7.44,0.636,0.727,0.857,2.0,0.538,C
FLA,BAH,True,0.627,favorito,1.2,11,0,3,0.149,3.149,10.99,0.273,1.0,1.2,2.0,0.531,C
CAP,PAL,False,0.202,zebra,0.8,11,0,6,0.578,2.598,7.01,0.545,1.165,1.015,1.0,0.523,C
SAN,FLU,True,0.373,equilibrado,1.4,12,1,3,0.456,3.013,8.72,0.333,0.786,0.688,1.0,0.512,C
CRU,GRE,True,0.549,favorito,1.5,10,0,1,-0.059,2.97,9.13,0.1,1.1,0.733,1.0,0.51,C
BOT,CHA,False,0.322,zebra,1.8333333333333333,11,0,2,0.158,2.793,9.05,0.182,1.111,0.952,3.0,0.507,C
CHA,BOT,True,0.293,zebra,2.3333333333333335,12,1,2,0.154,2.264,4.71,0.25,0.2,1.0,-1.0,0.478,C
VAS,SAO,True,0.427,equilibrado,1.0,11,0,3,0.015,2.574,7.53,0.273,1.1,0.906,1.0,0.475,C
SAO,VAS,False,0.199,zebra,1.3333333333333333,12,0,6,0.182,2.562,8.58,0.5,0.733,1.467,-1.0,0.411,C
FLU,SAN,False,0.124,zebra,0.8333333333333334,11,1,3,0.269,2.703,7.42,0.364,0.978,1.185,-1.0,0.377,D
GRE,CRU,False,0.222,zebra,1.1666666666666667,11,0,4,0.195,2.725,7.93,0.364,0.629,0.629,2.0,0.376,D
COR,VIT,False,0.292,zebra,0.4,11,1,2,0.224,3.406,8.63,0.273,0.55,1.0,1.0,0.291,D
MIR,INT,False,0.0,,1.0,12,0,3,0.138,1.996,4.97,0.25,0.545,1.0,-6.0,0.271,D
